throw_Distance,Rope_elasticity,Pulling_level,catapult_weight,catapult_Height,Throw_angle
96.4,1,42.3,49.3,33.6,37.7
84.05,1,44.3,55.3,39.6,35.7
122.4,1,46.3,51.3,33.6,35.7
175.05,3,33.3,43.3,43.6,45.2
166.6,3,35.3,45.3,46.6,44.2
195.2,3,34.3,47.3,40.6,47.2
100.3,1,44.3,57.3,44.6,38.7
125.65,2,36.3,51.3,38.6,40.7
95.1,1,42.3,61.3,37.6,36.7
136.7,3,35.3,46.3,43.6,40.7
135.1,2,36.7,41.8,41.6,42.2
135.1,2,36.7,41.8,41.6,40.7
146.8,3,34.7,41.8,41.6,43.7
137.7,2,40.7,33.8,33.6,39.2
120.15,1,44.7,33.8,33.6,38.2
116.25,2,39.7,30.8,30.6,37.7
91.55,1,44.7,34.8,34.6,37.2
157.2,3,36.7,39.8,39.6,39.2
146.8,3,NA,41.8,41.6,39.7
123.4,2,37.7,41.8,41.6,38.2
114.3,2,37.7,41.8,41.6,38.2
105.2,1,41.7,33.8,33.6,34.7
111.05,1,41.7,33.8,33.6,36.7
97.4,1,41.7,33.8,NA,36.2
66.2,1,49.7,31.8,31.6,29.2
66.2,1,48.7,32.8,32.6,28.2
94.15,1,48.7,34.8,34.6,28.7
209.2,3,33.7,43.8,43.6,44.2
196.2,3,33.7,51.8,51.6,47.2
218.95,3,33.7,44.8,44.6,46.2
138.35,3,35.7,39.8,39.6,42.7
99.35,1,43.7,30.8,30.6,37.7
97.4,1,42.7,33.8,33.6,38.2
85.05,1,44.7,39.8,39.6,36.2
123.4,1,46.7,33.8,33.6,36.2
176.05,3,33.7,43.8,43.6,45.7
167.6,3,35.7,46.8,46.6,44.7
196.2,3,34.7,40.8,40.6,47.7
101.3,1,44.7,44.8,44.6,39.2
126.65,2,36.7,38.8,38.6,41.2
96.1,1,42.7,37.8,37.6,37.2
137.7,3,35.7,43.8,43.6,41.2
133.1,2,35.8,46,40.6,41.2
133.1,2,35.8,46,40.6,39.7
144.8,3,33.8,45,40.6,42.7
135.7,2,39.8,46,32.6,38.2
118.15,1,43.8,51,32.6,37.2
114.25,2,38.8,46,29.6,36.7
89.55,1,43.8,55,33.6,36.2
155.2,3,35.8,43,38.6,38.2
144.8,3,35.8,45,40.6,38.7
121.4,2,36.8,47,40.6,37.2
112.3,2,36.8,47,40.6,37.2
103.2,1,40.8,51,32.6,33.7
109.05,1,40.8,51,32.6,35.7
95.4,1,40.8,51,32.6,35.2
64.2,1,48.8,53,30.6,28.2
64.2,1,47.8,53,31.6,27.2
92.15,1,47.8,54,33.6,27.7
207.2,3,32.8,43,42.6,43.2
194.2,3,32.8,42,50.6,46.2
216.95,3,32.8,43,43.6,45.2
136.35,3,34.8,45,38.6,41.7
97.35,1,42.8,49,29.6,36.7
95.4,1,41.8,49,32.6,37.2
83.05,1,43.8,55,38.6,35.2
121.4,1,45.8,51,32.6,35.2
174.05,3,32.8,43,42.6,44.7
165.6,3,34.8,45,45.6,43.7
194.2,3,33.8,47,39.6,46.7
99.3,1,43.8,57,43.6,38.2
124.65,2,35.8,51,37.6,40.2
94.1,1,41.8,61,36.6,36.2
135.7,3,34.8,46,42.6,40.2
139.1,2,36.3,50.3,45.6,42.7
139.1,2,36.3,50.3,45.6,41.2
150.8,3,34.3,49.3,45.6,44.2
141.7,NA,40.3,50.3,37.6,39.7
124.15,1,44.3,55.3,37.6,38.7
120.25,2,39.3,50.3,34.6,38.2
95.55,1,44.3,59.3,38.6,37.7
161.2,3,36.3,47.3,43.6,39.7
150.8,3,36.3,49.3,45.6,40.2
127.4,2,37.3,51.3,45.6,38.7
118.3,2,37.3,51.3,45.6,38.7
109.2,1,41.3,55.3,37.6,35.2
115.05,1,41.3,55.3,37.6,37.2
101.4,1,41.3,55.3,37.6,36.7
70.2,1,49.3,57.3,35.6,29.7
70.2,1,48.3,57.3,36.6,28.7
98.15,1,48.3,58.3,38.6,29.2
213.2,3,33.3,47.3,47.6,NA
200.2,3,33.3,46.3,55.6,47.7
222.95,3,33.3,47.3,48.6,46.7
142.35,3,35.3,49.3,43.6,43.2
103.35,1,43.3,53.3,34.6,38.2
101.4,1,42.3,53.3,37.6,38.7
89.05,1,44.3,59.3,43.6,36.7
127.4,1,46.3,55.3,37.6,36.7
180.05,3,33.3,47.3,47.6,46.2
171.6,3,35.3,49.3,50.6,45.2
200.2,3,34.3,51.3,44.6,48.2
105.3,1,44.3,61.3,48.6,39.7
130.65,2,36.3,55.3,42.6,41.7
100.1,1,42.3,65.3,41.6,37.7
141.7,3,35.3,50.3,47.6,41.7
140.1,2,36.7,45.8,45.6,43.2
140.1,2,36.7,45.8,45.6,41.7
151.8,3,34.7,45.8,45.6,44.7
142.7,2,40.7,37.8,37.6,40.2
125.15,1,44.7,37.8,37.6,39.2
121.25,2,39.7,34.8,34.6,38.7
96.55,1,44.7,38.8,38.6,38.2
162.2,3,36.7,43.8,43.6,40.2
151.8,3,36.7,45.8,45.6,40.7
128.4,2,37.7,NA,45.6,39.2
119.3,2,37.7,45.8,45.6,39.2
110.2,1,41.7,37.8,37.6,35.7
116.05,1,41.7,37.8,37.6,37.7
102.4,1,41.7,37.8,37.6,37.2
71.2,NA,49.7,35.8,35.6,30.2
71.2,1,48.7,36.8,36.6,29.2
99.15,1,48.7,38.8,38.6,29.7
214.2,3,33.7,47.8,47.6,45.2
201.2,3,NA,55.8,55.6,48.2
223.95,3,33.7,48.8,48.6,47.2
143.35,3,35.7,43.8,43.6,43.7
104.35,1,43.7,34.8,34.6,38.7
102.4,1,42.7,37.8,37.6,39.2
90.05,1,44.7,43.8,43.6,37.2
128.4,1,46.7,37.8,37.6,37.2
181.05,3,33.7,47.8,47.6,46.7
172.6,3,35.7,50.8,50.6,45.7
201.2,3,34.7,44.8,44.6,48.7
106.3,1,44.7,48.8,48.6,40.2
131.65,2,36.7,42.8,42.6,42.2
101.1,1,42.7,41.8,41.6,38.2
142.7,3,35.7,47.8,47.6,42.2
138.1,2,35.8,50,44.6,42.2
138.1,2,35.8,50,44.6,40.7
149.8,3,33.8,49,44.6,43.7
140.7,2,39.8,50,36.6,39.2
123.15,1,43.8,55,36.6,38.2
119.25,2,38.8,50,33.6,37.7
94.55,1,43.8,59,37.6,37.2
160.2,3,35.8,47,42.6,39.2
149.8,3,35.8,49,44.6,39.7
NA,2,36.8,51,44.6,38.2
117.3,2,36.8,51,44.6,38.2
108.2,1,40.8,55,36.6,34.7
114.05,1,40.8,55,36.6,36.7
100.4,1,40.8,55,36.6,NA
69.2,1,48.8,57,34.6,29.2
69.2,1,47.8,57,35.6,28.2
97.15,1,47.8,58,37.6,28.7
212.2,3,32.8,47,46.6,44.2
199.2,NA,32.8,46,54.6,47.2
221.95,3,32.8,47,47.6,46.2
141.35,3,34.8,49,42.6,42.7
102.35,1,42.8,53,33.6,37.7
100.4,1,41.8,53,36.6,38.2
88.05,1,43.8,59,42.6,36.2
126.4,1,45.8,55,36.6,36.2
179.05,3,32.8,47,46.6,45.7
170.6,3,34.8,49,49.6,44.7
199.2,3,33.8,51,43.6,47.7
104.3,1,43.8,61,47.6,39.2
129.65,2,35.8,55,41.6,41.2
99.1,1,41.8,65,40.6,37.2
140.7,3,34.8,50,46.6,41.2
